review,rate
Sangat kecewa. Kecewa sekali. Udh top up. Mau di transaksi in malah kasih nomor yang salah. Padahal nomor di profil benar. Buat ap ah q top up tp ga bisa digunain. Balikin.! Ga becus. Kasih nomer saalah. Saya mau masukin kode transaksi gimana.!!!!,1
Ga niat ngasih promo sialan temen udh pake reff ga pake cara curang malah di stop. KAPITALIS. Daerah ku ongkir ga ada subsidi di daerah lain masih ada. Ampas Gojek skrng. Strategi baru ga bakar duit gimana. Yg ada transaksi hilang 2x lipat. Bukan nambah 2x lipat.,1
"Kalau sistemnya rata begini apa bedanya yg rajin & enggak? Opang ini mah. Kerja lebih lama lagi & resiko kecelakaan pasti lebih tinggi. Kapan bonusnya kalau sejam sekali orderannya. Ini Jakarta, males2 ya ga dapet duit, kembalikan sistem sebelumnya prioritas!!!",1
"Ongkosnya da mahal, minimal 16rb..... Sekarang saya beralih ke indriver, harga masi bisa dapat 10-13rb dengan rute jarak sama, kalau jarak jauh bs selisih 10-15rb, dan itu murni masuk ke driver semua, di gojek bayar 16rb, driver cm dapat 8800, kasian driver",1
"Tolol anjing..!!!! Aplikasi yang katanga karya anak bangsa tapi kayak kontol gini..??? Vocer ditarik lagi bangsat...!!!! Uninstall gojek lah, langganan make grab wae. Gojek autis sumpah, dasar anjink ceo nya kere..!!!! Balikin nadiem aja yang jadi ceo...!!!! >:(",1
Saya tau kalau rating itu sangat riskan. Emosional manusia berbeda-beda dalam menanggapi suatu masalah. Masalah yang berbobot sampai masalah yang kurang berarti. Tak ada apapun bisa terjadi . Nilai akan berubah arti. Terima kasih gojek untuk Indonesia.,5
"Aplikasi gila!! Gw akun premium sdh 2 thn lbh, dpt paylater aja 500rb, kenapa voucher saya bisa hilang di akun premium hp samsung A50, apa ada yg salah dgn akun saya??? Saya pakai aplikasi Grab blm pernah dpt kasus voucher promo raib di telan jin",1
"Gojek emang oke Sebagai driver aku sih gak muluk2,dapat tutup poin jam 4 sore aja setiap hari alhamdulillah,amiin. Sampai ke2 putra saya lulus sekolah ,apalagi bisa lulus sarjana ekonomi dan ilmu agama,,, .insya allah d kasih sehat dan panjang usia amiin.",5
Promonya bisa gagal yah. Padahal sudh belanja item dan di waktu sesuai promo. Boleh sih promonya berubh setiap saat. Tapi kasi tau dong perubahannya gimana. Masa sebelum belanja bilangnya A tapi pas lagi bayar malah jadi gagal. Ini sih bukan promo tapi malah penipuan,1
"Kecewa saya, padahal udah sering go food, go ride dari aplikasi ini. Kok driver2 sekarang pada2 pemalas ya. Jarak 4km aja mereka pada ga mau, malah lebih milih di cancel. Kalo ga mau ya ga usah kerja, gimana sih. Ga bermutu banget",1
