review,rate
"Apa aplikasi yang bagus untuk dengan mudah pergi ke mana saja jika kita tidak memiliki sepeda motor atau ingin pergi dalam perjalanan kelompok, kita dapat menggunakan gocar dan perjalanan yang menyenangkan adalah suatu keharusan, jadi saya pikir gojek memberi kita banyak situasi nyaman selama mengendarai. Dan saya suka gofood! Saya pikir itu sudah cukup.",positive
Aplikasi ini banyak membantu saya. Sekarang saya tidak perlu bertanya di sana-sini ketika pergi ke tempat baru. Dan saya tidak harus pergi ke luar rumah ketika saya lapar dan malas memasak. Hal favorit saya dari gojek adalah pengemudi yang santai dan ramah. Saya suka layanan dengan petugas atau pekerja semacam itu.,positive
Mengerikan. Antarmukanya sangat membingungkan. Saya tidak tahu ada pilihan mobil kecil dan besar. Antarmuka yang mengerikan.,negative
Aplikasi yang cukup mengesankan. Butuh waktu lebih lama untuk mengunduh dan menginstal thqn untuk mengetahuinya dan memesan makanan pertama saya! Obrolan dua bahasa cukup pintar.,positive
"Aplikasi ini sebenarnya bagus dan sangat membantu, tetapi voucher membingungkan.",positive
"Semakin kurus dengan setiap pembaruan ... pertama-tama mereka menonaktifkan berbagi akun, sekarang saya tidak bisa mengontrol keberadaan anak saya seperti dulu. Selanjutnya, sekarang setiap kali saya mencoba chatting driver, saya mendapatkan ""Chat not Available"" selama beberapa menit, jadi saya harus menghabiskan waktu yang tidak perlu menunggu untuk terhubung ke driver.",negative
Tidak ada alasan mengapa kartu kredit saya dikurangi bahkan sebelum pengemudi ditugaskan kepada saya. Aplikasi ini masih menunjukkan mencari driver namun kartu kredit saya sedang dikurangi. Jangan ikat kartu kredit Anda dengannya. Saya telah mendengarnya tetapi hari ini saya mengalaminya sendiri setelah pembaruan,negative
"Sebenarnya aplikasi yang sangat bagus, lebih baik daripada aplikasi lain dengan layanan yang sama. Satu-satunya hal yang membuat saya kesal adalah permintaan yang terus-menerus untuk memperbarui karena butuh begitu banyak penyimpanan perangkat saya, yang lain baik. Sangat menyukai aplikasi ini <3 <3 <3 <3",positive
"tidak bisa menggunakan aplikasi ini, promo kurang plus selalu macet, bahkan sudah memperbarui aplikasi.",negative
"Sangat berguna bagi saya. Sudah lama saya menggunakan aplikasi ini. Tetapi pembaruan baru dengan obrolan dengan driver, ada yang tidak efektif dengan pesan otomatis di obrolan. Itu selalu salah dijabarkan ketika saya ingin mengobrol dengan pengemudi dan membuat kesalahpahaman. Semoga kalian memperbaikinya.",positive
Tidak ada pengaturan notifikasi untuk aplikasi ini. Dan itu juga menyimpan iklan spamming. Satu-satunya pilihan yang kami dapatkan adalah untuk mematikan pemberitahuan dari pengaturan Android dan itu membuatnya sulit untuk melacak kemajuan pengemudi. Ini 2019 ffs! Beri orang pilihan untuk pemberitahuan apa yang ingin kita nyalakan atau matikan,negative
"Setelah pembaruan, di obrolan saya terus menekan pesan cepat. Ini benar-benar menjengkelkan mengingat posisinya sama dengan keyboard yang seharusnya. Jadikan opsional atau miliki kemampuan untuk mematikannya. Saya tidak pernah menggunakan pesan cepat, cukup ketik langsung.",negative
"Saya telah membatalkan perjalanan saya, tetapi dalam aplikasi pengemudi, saya belum membatalkannya. Karena itu, pengemudi tetap menjemput saya. Sementara di sisi lain, saya sudah memesan untuk perjalanan lain. Harap perbaiki ini sesegera mungkin.",negative
"Saya bahkan tidak bisa masuk. Saya mencoba masuk menggunakan nomor telepon saya saat ini tetapi dikatakan ""ups! Ada masalah"". Tetapi ketika saya mencoba membuat akun baru menggunakan nomor yang sama dikatakan nomor saya sudah terdaftar. Saya sudah mencopotnya beberapa kali tetapi tidak mengubah apa pun.",negative
"Pada 07 NOVEMBER 2019, aplikasi ini telah menjadi tak tertahankan. Pembaruan pada lokasi dan gerakan pengemudi lambat, mengobrol dengan pengemudi gofood memerlukan waktu dan Anda perlu menelepon atau menggunakan whatsapp untuk menghubungi mereka. Salah satu aplikasi paling berguna di negara ini tetapi kinerjanya terus menjadi buruk.",negative
Aplikasi Anda yang digunakan di Indonesia tidak tahu bagaimana cara kembali ke Singapura? Sekarang saya tidak bisa menggunakan aplikasi ... semua alamat Indonesia ... yah ... beruntung masih punya Grab,negative
"Dulu aplikasi yang sangat bagus. Saat ini semakin parah dan sampai ke saraf saya. Pusat bantuan seharusnya membantu kami dengan masalah kami, tetapi saya tidak dapat memperoleh bantuan yang saya butuhkan untuk masalah saya karena tidak ada pilihan untuk itu. Saya harap Anda dapat meningkatkan layanan Anda. Terima kasih",negative
"Pembaruan terbaru sangat buruk. Sebelumnya, bilah obrolan ada di bagian paling bawah. Sekarang, Anda menempatkan teks saran di bagian paling bawah, dan itu membuat saya salah klik setiap kali saya ingin chatting driver saya. Kembalikan obrolan kembali di bagian bawah.",negative
"Berhati-hatilah dalam mengaktifkan paylater. Tidak dapat dinonaktifkan, sementara semua pembayaran secara otomatis ditetapkan sebagai pembayaran. Transaksi 150rb dibebankan bunga 12,5rb. Benar-benar merasa kecewa. Menghapus instalan gojek segera. Bukan opsi pembayaran saya lagi. Sampai jumpa gojek.",negative
