author,published_at,comment,like,en_comment
@MaulanaMaulanamaulana-eo5fl,2024-09-20T04:15:25Z,ikn di buka untuk umum indah nya kota ikn di tahun,0,ikn is open to the publicthe beauty of the ikn city in
@daryanto07,2024-08-01T00:45:05Z,masuk akal nggak sih mulai dibangun tahun puncak pembangunannya kipp ikn saja konon katanya seluas ha total luas daratannya ribu ha dan kawasan perairan lautnya ha padahal bsd city yg total luas lahannya ha fase i ha dibangun thn fase ii ha dibangun thn dan fase iii ha dibangun mulai thn target selesai thn,0,does it make sense starting construction in peak construction in kipp ikn alone it is said to be ha the total land area is thousand ha and the sea area is ha whereas bsd city which has a total land area of ha phase i ha was built in phase ii ha was built in and phase iii ha was built starting in targeted completion in
@ArwanAhmad-z8g,2024-07-26T02:16:40Z,ikn jalan terus hebat semangat maju terus indonesia maju pk jojowi hebat mba gres semangat,0,ikn keep going great keep up the spirit of progress indonesia is progressing pk jojowi is great mba gres keep up the spirit
@harunindrapratama5497,2024-07-18T18:14:51Z,orang bodoh penjilat,0,a sycophantic fool
@istachondoni198,2024-07-18T10:27:29Z,setuju,0,agree
@Batamm1140,2024-07-15T08:53:50Z,smg sukses ikn kami rakyat akn selalu mendukung semangat maju terus mantap,0,hopefully our ikn will be successful the people will always support the spirit of continuing to move forward steadily
@Batamm1140,2024-07-15T08:52:13Z,anti klobdah berlanjutnya t padti banyak yg mendukung utamakan pendukung yg membantu dari awal,0,anti klobdah continues to be supported by many prioritize supporters who helped from the start
@rasulhamidi772,2024-07-15T04:09:08Z,anggaran ikn jangan sampai mengambil anggaran pendidikan diduga masalah pendidikan sangat banyak karena anggarannya diambil untuk ikn dapat dipastikan bahwa bangsa ini menuju indonesia lemas pada tahun karena anggaran pendidikan apbn dibagi bagi ke pihak lainnya sehingga kemendikbudriset hanya memperoleh sebagian kecil dari apbn tsb,0,the ikn budget should not take the education budget it is suspected that there are many education problems because the budget is taken for the ikn it is certain that this nation is heading towards a weak indonesia in because the education budget of of the apbn is divided among other parties so that the ministry of education and culture only gets a small portion of the apbn
@muhammadanwarbinjohari5673,2024-07-14T11:33:17Z,weird location how did they come out with this,0,weird location how did they come out with this
@RakaSumerta,2024-07-14T06:17:21Z,partai yg mengusung meng elukan kepentingan anak muda yg akan membawa perubahan eeh eeh ternyata sama saja bull shiiit cuman nebeng bandrol kata anak muda saja,0,the party that promotes the interests of young people who will bring about change eeh eeh turns out to be the same as bullshit just piggybacking on the words of young people
@RakaSumerta,2024-07-14T05:02:40Z,cantik bgini dan maniiis lagi demi harta dan jabatan eeeh ujung nya jadi kelompok penjilat juga,0,beautiful like this and sweet too for the sake of wealth and position eeeh in the end they become a group of sycophants too
@gedeardanaofficial,2024-07-14T04:23:53Z,penjilat,0,a flatterer
@aliirfan2947,2024-07-14T03:22:52Z,mencla mencle,0,mencla mencle
@dickyiskandar-f5f,2024-07-14T03:02:56Z,minimal kelakmenjadi istana negara kayak istana negara tampak siring bali istana negara bogordstataubisa jaditaman mini indonesia di kalimantanudah santai ajaga perlubanyak basa basi,0,at least in the futurewill become a state palace like the state palace in tampak siring bali the state palace in bogoretcorit could bea mini indonesia park in kalimantanjust relaxno need fora lot of small talk
@sutraadikusuma2167,2024-07-14T03:02:56Z,buzzer istana,0,palace buzzer
@catatanhariantuty8609,2024-07-14T03:01:52Z,penjilat yg msh berpikir semua rakyat bodoh bangun grace jangan mempermalukan diri sendiri krn pd kenyataannya tdk on the track investor lokal para oligarki di imingi investasi di ikn dg barter proyek strategis negara mengorbankan masyarakat pemilik lahan dimana tanah mereka dihargai dibawah njop anda yg shrsnya jalan ke proyek oligarki,0,sycophants who still think all people are stupid wake up grace dont embarrass yourself because in reality you are not on the track local investors the oligarchs are lured into investing in the ikn by bartering the states strategic projects sacrificing the landowners where their land is valued below the njop you are the one who should be walking around the oligarchy projects
@TitiSuryanti-jz5zc,2024-07-14T03:01:09Z,sirik di besarkn,0,envy is big
@royaritonang-bp1ty,2024-07-14T02:56:11Z,ya sesuailahorang kamu ada kepentingan,0,yes thats rightyour people have interests
@rimaahmad976,2024-07-14T02:50:23Z,dengkulmu,0,your embrace
@BobVahn,2024-07-14T02:42:38Z,on the track tapi diundur sejak berita pindahan diundur tiba banyak muncul dimana video menjilat tentang ikn on the track hadeh,0,on the track but postponed since the news of the move was postponed many videos have suddenly appeared everywhere flattering about ikn on the track hadeh
@BeLial_The_Fallen,2024-07-14T02:36:31Z,cocodddd,0,cocodddd
@agusbiwoso6177,2024-07-14T02:36:13Z,grace iknon the track nitizen matamu picek,1,grace iknon the track netizen your eyes are narrow
@RakaSumerta,2024-07-14T06:06:19Z,coment makhluk penikmat harta dan tahta murni buzzer penjilat,0,comment from a creature who enjoys wealth and power purely a sycophantic buzzer
@sendygunawan9737,2024-07-14T02:35:14Z,sayang cakep nggak punya integritas mengecewakan gen muda,0,darling the handsome guys have no integrity disappoint the young generation
@gunners6663,2024-07-14T02:28:21Z,dana ny j g adaon the trek udel e opo mundak rakyat mu pdo susah ki,0,there are no funds either on the track udel e why are your people having a hard time
