,comment,author,publishedAt,likeCount
0,"Ya itulah, yg tuha-tuha msh mikir mau nfomong bgt. Tp kalau di rmh a di kalangan tertentu, trmsk di klas sy suka ngomong spt itu.
Tul di sana sering perang, suka perang.
Pernah ada seorg utusan dr palestin yg datang ke kampus sy ngaku sempat ditolak oleh srirg bupati di kalbar. 
Ybs sy tanya "" mkn nggak menang melaean israel, krn negara-negara di kawasan itu sendiri tdk kompak dan saling serang juga? Tapi jawabannya jangan dibawa ke atas"", dambil tangan sy menunjuk ke langit.",@harihantoharihanto,2024-12-03T02:35:51Z,0
1,Menyimak dulu lah,@HerbetGajah-yf5sm,2024-12-03T02:18:55Z,0
2,Ade Armando lagi mencari uang demi menjual agama. Semoga Allah SWT memanfaatkan mu dan memberikan jalan yg baik buat mu,@SutomoKopong-w7f,2024-12-03T02:07:45Z,0
3,Kapir itu kapper (jadi org kafir itu org yg masih ter tutup woi gimana gak halus tuh bhs al- Qur'an,@AdeDedi-e4b,2024-12-03T01:33:49Z,0
4,Kang ade sareng neng geulis belajar bahasa arab atuh biar bisa menerangkan per bedaan kata yg sama tapi beda arti biar gak ngaco hihi,@AdeDedi-e4b,2024-12-03T01:32:10Z,0
5,Acara TAI,@tediguntara6143,2024-12-03T01:06:44Z,0
6,Podcast TAI 😂,@tediguntara6143,2024-12-03T01:07:06Z,0
7,"Mana ada negara yg mayoritas Agamaksa negara konoha, yg mensyariatkan ajaranya yang saat ini tdk berperang? sejahterakah rakyatnya?
adilkah pemimpinnya?
rukunkah manusianya?
memanusiakan manusianya, alamnya, sesamanya?",@D_Ocha,2024-12-03T00:50:51Z,0
8,https://youtu.be/9wc7W_C9Dqo?si=yRuv3OlKP_Yh2vD7,@ApriKristanto,2024-12-03T00:48:10Z,0
9,"Goblok dipelihara,berperanglah kamu apabila kamu diperangi.belajar dulu mengenai agama Islam yg benar baru mengeluarkan statemen,Islam adalah agama Rahmatan Lil Alamin,agama yg  berkah bagi semua manusia.",@barwanharahap5728,2024-12-02T23:19:07Z,0
10,https://youtu.be/Lo98PsjXuB0?si=5sazHexb3TTz4W-O,@dendiafkan7455,2024-12-02T23:12:42Z,0
11,Sekalian ikut jejak syaifuddin ibrahim😅,@RobiYanto-u3f,2024-12-02T23:06:56Z,0
12,Perusak islam dari dalam ...waspadalah,@RobiYanto-u3f,2024-12-02T23:06:19Z,0
13,"16:15 Lalu Ia berkata kepada mereka: ""Pergilah ke seluruh dunia, beritakanlah Injil kepada segala makhluk.   16:16 Siapa yang percaya dan dibaptis akan diselamatkan, tetapi siapa yang tidak percaya akan dihukum 
Yang tidak percaya akan dihukum, artinya semua orang harus percaya kalau tidak percaya akan dihukum ini namanya paksaan, agama kok paksaan",@sarodinsarodin9316,2024-12-02T22:45:55Z,0
