comment,author,publishedAt,likeCount
Program halu yg di gagas orang orang konyol...,@irvalmuhammad7054,2024-12-08T15:18:56Z,0
Kalau tdk melibatkan umkm di daerah terutama yg di desa / kecamatan percuma.,@kibekel.3045,2024-12-07T13:12:50Z,0
Gimana dong nasib kami ibu kantin pak 😭😭😭😭😭,@shifashu8640,2024-12-06T05:41:52Z,0
makan bergizi 10rb...ada buah susu juga..?,@amandaaditya8799,2024-12-05T04:08:35Z,0
uang ny aja pak...biar emak yg masak...tp anak d wajibkan bawa mkan aja...,@amandaaditya8799,2024-12-05T04:06:59Z,0
Makan gratis untuk siswa lebih  baik dikelolah oleh orang tua siswa. Bikin saja penyajian makanan secara bergantian oleh orang tua siswa itu.,@Susimaryani-tz2vl,2024-12-04T16:52:04Z,0
Kapan lah kami dapat sempat tamat smp paling,@DewiDeww-e6k,2024-12-01T10:24:44Z,0
Kapan pelaksanaannya di propinsi lain pak ketua MBG? Di prop kami di Sulut belum pak.,@Hely-tv4dl,2024-11-29T15:07:23Z,0
Sekolah mn bu..cb japri aja krn tsk semua guru,@indriani2208,2024-11-29T09:19:46Z,0
"KELOLA , POTENSI KORUPSINYA SAJA SAMPAI SANGAT BESAR BAHKAN BISA LIBATKAN MASYARAKAT ,
SELAIN SEMUA TIDAK JELAS ANGGARANNYA SANGAT TIDAK TERUJI PROGRAMNYA JIKA DI PAKSAKAN TIDAK MUNGKIN ADA YANG BERTANGGUNG JAWAB TERMASUK PENGGAGAS PROGRAM ,
TERLEBIH TIDAK ADA STANDAR YANG BISA DI PEGANG !

UNTUK KOMODITI SAJA HARGA DI TUKAR DAERAH LUAR JAWA ITU HARGA² BARANG BERVARIATIF CUKUP EXTREEM  , YA SEBAGAI ILUSTRASI HARGA BBM SAJA TIDAK JELAS DI DAERAH² , TERLALU PREMATUR JIKA ANGGAP HAL SEPELE SIAPAPUN YANG DI GERAKAN , PALING²  SATU DUA BUKAN IYA (UNTUK PERLIHATKAN SEOLAH BERJALAN & BISA DI GULIRKAN) BESOKNYA NGAKALIN ANGGARAN DENGAN BOHONG KARENA NGAK REALISTIS  SEPERTI DI BANYAK KASUS UJUNG²NYA YA MINTA ANGGARAN TERMASUK JIKA TNI GUNAKAN KEKUATANNYA , BOHONG & BOHONG BESAR JIKA TIDAK AKAN TERJADI.

AKU KASIH ILUSTRASI !
KIRIM LOGISTIK PEMILU SAJA SETENGAH MATI , SEMUA TAHU ITU.",@t.seto.w7976,2024-11-29T06:22:05Z,0
Gimana bisa ikut aku yg masakin,@azmi07hs,2024-11-28T16:16:34Z,0
"Saya sangat setuju, 
Dan keteringnya, diambil dr wali murid, di sekolah itu dan bergantian,  
Dibuat mingguan atau terserah gmn spy jalan
Hingga wali murid juga dapat inkam",@MiyatinOppo,2024-11-28T02:12:59Z,0
Udah ketebak arahnya kemana nih 😅,@nitamaura7890,2024-12-02T01:24:21Z,0
Tidak bisa ambil katring sembarangan harus dari dapur ketring yng sudah punya ijin SOP BPOM dll.karna nanti ada tim survey pemeriksaan nilai gizinya,@TigaPutra-petualang,2024-12-02T19:24:18Z,0
