,0
0,Comments
1,Lalu apa bedanya ISIS sama Muhamad yak? Kan sama aja.
2,"Perang hobynya iblis sebagai bapak pembunuh,itu jelas..."
3,"Emang kau paham tentang Islam 
Sok tau kali kau"
4,"Ade Armando anda islam sebelum bahas islam, sebaiknya baca sejarah dulu dan jika ada pertanyaan carilah narasumber yg betul tau sejarah islam, ini perempuan Islam tapi auratnya saja terbuka , belum layak mewakili pembicara islam, coba liat di komentar penyembah manusia pada senang"
5,Ni emang chanel pobia islam. Kalau ngak tau sejarah islam jangan bicara islam bung.
6,Ciri2 kiamat udah dekat anak buah dajal udah pada keluar
7,"Justru aneh kalo ada kelompok Agama yg tidak mengajarkan hukum perang.
Perang salah satu element dalam peradaban suatu manusia baik dalam Kelompok Politik, ataupun Agama.

Lha wong dalam Narasi Alkitab , para Budak Budak Mesir yg lebih dikenal dgn Orang Israel aja , diajari Perang waktu mau masuk ke Palestina , mengangkat Yosua ben Nun sebagai pemimpin perang 😂."
8,"Wahyu kok ngk konsisten ya..
Liat  kondisi  nya.. Dulu beda dngn sekarang
Kitab sejarah😂
Ada yg kepanasan ni😢"
9,"Maaf bg ade.. 
Yesus dengan isa di quran itu 2 pribadi yg berbeda
Jngn cocokmologi
Sejarah nya berbeda jngn dipaksakan untuk sama😅"
10,"Tamba keliru ini, penjelasan seperti ini jika konteks di bilangin tanah perjajian kepada israel bahaya ini📢📢"
11,Semoga ALLAH membinasakan musuh2 islam... semoga ALLAH menghinakan orang2 yg mau merusak agama islam...
12,"Oh... Pantas muhammad
Ia menyucikan diri pake batu🤣🤣🤣🤣"
13,"Ya kelihatan jelas sih iman muslimah ini rambutnya aja gak ditutup, paham perang lawan dirinya sendiri udah gagal, pakek komentarin konteks perang jaman nabi."
14,"nih orang gak ada kapok"" nya mau bikin indonesia jadi liberal."
15,Trimaksih sudah jujur tentang Islam.
16,"Maksud pembahasan ini apa kok pembahasannya seolah olah menyudutkan dan pembahasan sejarahnya tidak lengkap..
Kalau anda yang pengetahuannya kurang jangan bahas yang anda tidak tau cari yang ahlinya yang paham tentang sejarah.."
17,agama perang NDASMU GOBLOK
18,"Ngaco loe tong... Baca penelitian, faktanya dalam 2,000 tahun terakhir itu Kristen adalah agama paling banyak melakukan perang, paling banyak melakukan Genoside. Disebarkan keseluruh dunia saja lewat penjajahan tongg, pikir pake otak kesian emak bapak loe udah sekolahin loe tetep bahlul 🤣🤣🤣"
19,"Bung Ade Armando, jika anda ingin mengetahui ttg Islam, sebaiknya anda berdiskusi dgn pemuka agama Islam seperti ustad Felix siau, agar anda bisa lebih paham dan tidak menjadi sesat"
20,2 binatang babi armando dan si betina
21,"Orang kurang Ilmu sejarah diwawancarai ..!
Islam itu sebenarnya Untuk kedamaian dlm AlQuran dibagian Tengah Ayat AlQuran Tertulis (Walyattallattop yang - Untuk Kebaikan Atau Untuk Kedamaian) Terjadinya Perang dlm Islam Akibat Rasa Iri Dengki Sesama Islam dn Islam dgn Non Islam Juga Islam dgn Kafir ..!
Contoh Suku Sunni dn Siyah ..
Juga ada Sejarah Ummar bin Kattab dn Batu Hajjar Aswat di Kakbah yg Dicuri Sekitar 8 Tahun Batu Hajjar Aswat tidak ada di Kakbah ..!
Sejarawan Banyak yg Salah Mengatakan Islam Masuk ke Indonesia Abad ke 13 Padahal Abad ke 8 Islam Udah Masuk di Aceh Sumatera Indonesia Coba Buka Kisah Kerajaan Perlak di Aceh ..
Makanya Aceh dulu disebut Aceh Serambi Mekkah ..!
Kerajaan Perlak Asli Anak Da'i Mekkah dn Kerajaan Perlak didirikan Tahun 840 Masehi ..!
Kesimpulannya Islam Perramakali Masuk ke Indonesia di Wilayah Aceh Sumatera ..!
Kalau ada Ustad atau Habib Islam Masuk ke Indonesia Dari Baalawi Yaman itu Super Bohong ..!"
22,"Selama konsep berpikirnya bukan berdasarkan konteks (situasi dan kondisi saat itu) pasti gak akan nyambung, dan selama konsep universal tidak disadari sebagai pedoman lokal juga gak akan bisa hidup berdampingan. Yang nyinyir secara tidak sadar sama aja sama yang fanatik dalam cara berpikir yang sempit."
23,"YESUS ADALAH TUHAN YG PERNAH MENIPU,TUHAN ITU PERNAH PURA2 JADI BAYI IMUT2 SEORANG PERAWAN.. TUHANNYA PENIPU APALAGI UMATNYA 😁"
24,https://youtu.be/PHGqerPBvNo?si=r98zCityVofditul
25,baraya bahas libya yang baru-baru ini menerapkan salafisasi yang katanya mengumumkan pengaktifan polisi moral untuk memerintahkan untuk melarang kejahatan di jalan dan daring dan sebagai respons terhadap perilaku yang bertentangan dengan nilai-nilai masyarakat disana kang guru gembul seperti memberlakukan jilbab pada perempuan dewasa dan siswi di sekolah menghilangkan fenomena percampuran antara perempuan dan laki-laki di kafe juga ditaman dan tempat umum dan sebagainya dan melarang gaya rambut dan pakaian yang tidak biasa yang tidak sesuai dengan budaya masyarakat islam atau arab dan sebagainya juga melaksanakan dan mewajibkan perempuan untuk mengenakan pakaian yang sopan dan sopan di tempat umum dan sebagainya dan melarang perempuan bepergian tanpa wali laki-laki dengan menyatakan bahwa ada kebutuhan untuk mengaktifkan kepolisian perempuan dan sebagainya melarang impor gaya pakaian yang tidak sesuai dengan budaya masyarakat arab juga Islam dan sebagainya dan memantau jalan dan halaman media sosial termasuk tiktok dan sebagainya juga menuntut pemilik kafe dan restoran serta individu yang mengenakan pakaian yang tidak pantas baik pria maupun wanita muda dan memastikan tidak ada seorang pun yang duduk dengan pria-pria maupun lawan jenis dengan cara yang tidak pantas dan sebagainya juga katanya kang guru gembul mengatakan polisi akan diberi pelatihan tentang alquran dan sunnah dan sebagainya itu kang guru gembul juga katanya baraya mereka tersebut berjanji akan menangkap siapa pun yang melanggar aturan ini dan akan melakukan penggerebekan rumah jika ada orang yang kedapatan melakukan tindakan tidak bermoral dalam Islam dan sunnah dan sebagainya itu kang guru gembul dan katanya baraya menyatakan bahwa siapa pun yang mencari kebebasan pribadi harus meninggalkan negara ini dan pergi ke negara lain atau menghadapi hukuman mati dan sebagainya kang guru gembul juga katanya telah menghadapi kritik keras dari banyak kaum sekuler liberal dan modernis kami memohon kepadanya agar membantu dia dan mereka yang bersamanya dalam melaksanakan langkah-langkah mulia ini dengan sukses untuk membimbing dan menguatkan mereka di atas kebenaran begitu katanya baraya kang guru gembul yang saya liat yang katanya sesuai dengan alquran dan sunah dan sebagainya juga masyarakat arab dan juga Islam katanya begitu kang guru gembul dari apa yang saya liat 1:40 3:20 5:21  5:56  6:41  8:22  9:24  11:09  12:17  12:45  13:04  14:02  14:44 .
26,Sayangnya tak ada hukum Damai tertulis dlm islam sebagaimana hukum kasih dlm Kristen.
27,Islam itu artinya damai goblok 😁
28,"Kalau org yg tidak mengenal agama Tuhan suka berperang, lhaa....knapa yg membawa Agama Tuhan ikut2 suka berlerang juga. Apa bedanya ?"
29,"Buktikan /tunjukan ayatnya klau nabi Muhammad SAW membunuh...? 
Tidak ada ayat di Al-Qur'an yang menyatakan bahwa Nabi Muhammad SAW pernah membunuh seseorang."
30,😂😂😂😂 trus yg perang selama ini mana ?
31,"Roh Kudus sedang mengolah batin dan hati bung Ade Armando.. semoga Tuhan memberkati bung Ade dan keluarga Cokrotv, amin.."
32,Matius 5:44 (TB)  Tetapi Aku berkata kepadamu: Kasihilah musuhmu dan berdoalah bagi mereka yang menganiaya kamu.
33,"Perang padri di sumatra adalah bagian pembantaian umat islam untuk menyebarkan ajaran islam. 
Jadi ndak heran kenapa perang padri ada karna kitab mereka mengajarkan itu ."
34,Pertanyaan nya berat banget bang
35,berarti Palsu karena kadarluasa harus diperbaharui!
36,Perang Salib adalah respon dari invasi IsIam.
37,Jawaban tidak sesuai pertanyaan Ade Harmado
38,"Yesus lahir saat Romawi menjajah,tapi tidak mengajar perang itu hebatnya"
39,"sampai saat ini saya belum bisa mengakui Islam itu agama damai,karena sampai sekarang masih berpegang ""darah Halal""selain Islam"
40,Bang ade jangan pura-pura bodoh atau buta..saya kasih contoh gak usah jauh jauh yang menjajah Indonesia selama 350 tahun itu agama nya apa?Kristen mereka merampok SDA Indonesia berapa juta rakyat Indonesia mati di tangan penjajah Belanda..di irak berapa juta rakyat irak mati ketika Amerika mengimpasi irak..di afghanistan selama 20 tahun Amerika mengimpasi berapa juta yang mati bagaimana mungkin bisa di katakan agama Kristen agama damai..dan ayat di dalam bibel mengatakan kalau di tampar pipi kanan kasih pipi kiri saya berani jamin gak kan ada orang Kristen yang berani mempraktek kan ayat ini..
41,Ngawur nduk sampai sekarang ya perang melulu
42,"Ketika dua orang liberalis dungu menganalisis hukum islam dulu vs sekarang versi teori2 ngopas mbah google 🤣
Bukan melihat pada dasar hukum fiqh dll nya

Tapi nanggung amat mau menolak hukum² fiqh tapi takut2 gitu 🤣

Dasar kelakuan liberal 🤭"
43,Agama terorrist.
44,"Kejadian di Klender Jaktim, di suatu tempat ibadah ada isi khotbah, HALAL DARAH DAN HARTA ORANG KAFIR, pada waktu itu kejadian setelah 1 minggu bom Bali. 
Saya kuatir, langsung pindah rumah. Sampai sekarang bila melihat mereka bubar beribadah saya takut dan memilih menghindar..."
45,Islam bukan agama perang yg kalian pikir kn.. Islam agama yang damai...jgn Klian bilang agama islam agama perang.. Islam tidak pernah mengganggu tpi jgn di ganggu..paham Klian
46,"Ada logika bocor2nya si mbak ini. kalo anda bilang konteks zaman dulu perang adalah hal yg normatif, ini adalah logika bocor. Krn mbak sendiri yg bilang tadi bhw di zaman yg sama ada juga penyebaran agama tanpa perang, dan itu fakta sejarah.. kita cuman butuh satu fakta spt itu aja, kita sudah bisa menegasikan pernyataan bhw islam agama damai.. kocak nih logika bocor2 nya mbak...😂😂"
