,author,published_at,comment,like,en_comment
0,@MaulanaMaulanamaulana-eo5fl,2024-09-20T04:15:25Z,Ikn di buka untuk umum ...indah nya kota ikn di tahun 2024..❤❤❤❤🎉🎉🎉🎉🎉,0,Ikn is open to the public...the beauty of the Ikn city in 2024..❤❤❤❤🎉🎉🎉🎉🎉
1,@daryanto07,2024-08-01T00:45:05Z,"Masuk akal nggak sih, mulai dibangun tahun 2022 puncak pembangunannya 2045🤔 KIPP IKN saja, konon katanya seluas 6.700 ha, total luas daratannya 256 ribu ha, dan kawasan perairan lautnya 68.189 ha. Padahal BSD City yg total luas lahannya 6.700 ha, fase I (1.300 ha) dibangun thn 1989-2008, fase II (2.400 ha) dibangun thn 2008-2020, dan fase III (2.300 ha) dibangun mulai thn 2020 target selesai thn 2035.....😃",0,"Does it make sense, starting construction in 2022, peak construction in 2045🤔 KIPP IKN alone, it is said to be 6,700 ha, the total land area is 256 thousand ha, and the sea area is 68,189 ha. Whereas BSD City, which has a total land area of ​​6,700 ha, phase I (1,300 ha) was built in 1989-2008, phase II (2,400 ha) was built in 2008-2020, and phase III (2,300 ha) was built starting in 2020, targeted completion in 2035.....😃"
2,@ArwanAhmad-z8g,2024-07-26T02:16:40Z,Ikn jalan terus hebat .semangat maju terus indonesia maju .pk jojowi hebat .mba gres semangat 😂😂,0,"Ikn keep going great. Keep up the spirit of progress, Indonesia is progressing. PK Jojowi is great. Mba Gres, keep up the spirit 😂😂"
3,@harunindrapratama5497,2024-07-18T18:14:51Z,Orang bodoh penjilat,0,A sycophantic fool
4,@istachondoni198,2024-07-18T10:27:29Z,setuju,0,agree
5,@Batamm1140,2024-07-15T08:53:50Z,Smg sukses IKN kami rakyat akn selalu mendukung semangat maju terus mantap 👍👍👍👌👌👌🙏,0,"Hopefully our IKN will be successful, the people will always support the spirit of continuing to move forward steadily 👍👍👍👌👌👌🙏"
6,@Batamm1140,2024-07-15T08:52:13Z,Anti klobdah berlanjutnya t padti banyak yg mendukung utamakan pendukung yg membantu dari awal 👍👍👍👍👍👍👌🙏,0,"Anti Klobdah continues to be supported by many, prioritize supporters who helped from the start 👍👍👍👍👍👍👌🙏"
7,@rasulhamidi772,2024-07-15T04:09:08Z,Anggaran IKN jangan sampai mengambil anggaran pendidikan. Diduga masalah pendidikan sangat banyak karena anggarannya diambil untuk IKN. Dapat dipastikan bahwa bangsa ini menuju Indonesia LEMAS pada tahun 2045 karena Anggaran Pendidikan 20% APBN dibagi bagi ke pihak lainnya sehingga kemendikbudriset hanya memperoleh sebagian kecil dari 20% APBN tsb...,0,The IKN budget should not take the education budget. It is suspected that there are many education problems because the budget is taken for the IKN. It is certain that this nation is heading towards a WEAK Indonesia in 2045 because the Education Budget of 20% of the APBN is divided among other parties so that the Ministry of Education and Culture only gets a small portion of the 20% APBN...
8,@muhammadanwarbinjohari5673,2024-07-14T11:33:17Z,Weird location. How did they come out with this?,0,Weird location. How did they come out with this?
9,@RakaSumerta,2024-07-14T06:17:21Z,"Partai yg mengusung meng elu""kan kepentingan anak muda, yg akan membawa perubahan ..... eeh .. eeh ..  ternyata sama saja bull shiiit, cuman nebeng bandrol kata anak muda saja",0,"The party that promotes the interests of young people, who will bring about change... eeh... eeh... turns out to be the same as bullshit, just piggybacking on the words of young people"
10,@RakaSumerta,2024-07-14T05:02:40Z,"Cantik"" bgini dan maniiis lagi...., demi harta dan jabatan ... eeeh ujung"" nya jadi kelompok penjilat juga ...",0,"Beautiful like this and sweet too..., for the sake of wealth and position... eeeh in the end they become a group of sycophants too..."
11,@gedeardanaofficial,2024-07-14T04:23:53Z,Penjilat,0,A flatterer
12,@aliirfan2947,2024-07-14T03:22:52Z,Mencla mencle,0,Mencla mencle
13,@dickyiskandar-f5f,2024-07-14T03:02:56Z,"MINIMAL KELAK..MENJADI ISTANA NEGARA, KAYAK ISTANA NEGARA TAMPAK SIRING, BALI, ISTANA NEGARA BOGOR..DST...ATAU..BISA JADI..TAMAN MINI INDONESIA , DI KALIMANTAN...!!!!...UDAH SANTAI AJA....GA PERLU..BANYAK BASA BASI...!!!!...😅😅😅😅😅",0,"AT LEAST IN THE FUTURE..WILL BECOME A STATE PALACE, LIKE THE STATE PALACE IN TAMPAK SIRING, BALI, THE STATE PALACE IN BOGOR..ETC...OR..IT COULD BE..A MINI INDONESIA PARK, IN KALIMANTAN...!!!!...JUST RELAX....NO NEED FOR..A LOT OF SMALL TALK...!!!!...😅😅😅😅😅"
14,@sutraadikusuma2167,2024-07-14T03:02:56Z,Buzzer istana,0,Palace Buzzer
15,@catatanhariantuty8609,2024-07-14T03:01:52Z,"Penjilat yg msh berpikir semua rakyat bodoh. Bangun Grace jangan mempermalukan diri sendiri krn pd kenyataannya ""tdk on the track"". Investor lokal, para oligarki, di imingi investasi di IKN dg barter Proyek Strategis Negara. mengorbankan masyarakat pemilik lahan dimana tanah mereka dihargai dibawah NJOP. Anda yg shrsnya jalan2 ke proyek2 Oligarki.",0,"Sycophants who still think all people are stupid. Wake up Grace, don't embarrass yourself because in reality you are ""not on the track"". Local investors, the oligarchs, are lured into investing in the IKN by bartering the State's Strategic Projects. Sacrificing the landowners where their land is valued below the NJOP. You are the one who should be walking around the Oligarchy projects."
16,@TitiSuryanti-jz5zc,2024-07-14T03:01:09Z,Sirik di besar2kn.,0,Envy is big.
17,@royaritonang-bp1ty,2024-07-14T02:56:11Z,Ya sesuailah...orang kamu ada kepentingan,0,"Yes, that's right...your people have interests."
18,@rimaahmad976,2024-07-14T02:50:23Z,Dengkulmu,0,Your embrace
19,@BobVahn,2024-07-14T02:42:38Z,"on the track tapi diundur. 
Sejak berita pindahan diundur tiba2 banyak muncul dimana2 video menjilat tentang IKN on the track . hadeh.",0,"on the track but postponed. 
Since the news of the move was postponed, many videos have suddenly appeared everywhere flattering about IKN on the track. hadeh."
20,@BeLial_The_Fallen,2024-07-14T02:36:31Z,COCODDDD,0,COCODDDD
21,@agusbiwoso6177,2024-07-14T02:36:13Z,"Grace         :   IKN...on the track.
Nitizen       :  matamu picek.",1,"Grace: IKN...on the track.
Netizen: your eyes are narrow."
22,@RakaSumerta,2024-07-14T06:06:19Z,"Coment makhluk penikmat harta dan tahta. ...., murni buzzer penjilat",0,"Comment from a creature who enjoys wealth and power. ....., purely a sycophantic buzzer"
23,@sendygunawan9737,2024-07-14T02:35:14Z,Sayang ... cakep2 nggak punya Integritas & mengecewakan gen Muda.!!,0,Darling... the handsome guys have no integrity & disappoint the young generation.!!
24,@gunners6663,2024-07-14T02:28:21Z,"Dana ny j g ada,on the trek udel e 😂😅 opo2 mundak rakyat mu pdo susah ki,",0,"There are no funds either, on the track udel e 😂😅 why are your people having a hard time,"
25,@latihanada,2024-07-14T02:11:31Z,"Bodoh amat sih ! Gak usah koar-koar, tiap proyek pasti ada S-Curve nya, kecuali proyek siluman, tayangkan saja tiap hari di TV, selesai tho. Semua rakyat bisa lihat dan berpartisipasi !",0,"How stupid! No need to shout, every project must have its S-Curve, except for the phantom project, just broadcast it every day on TV, it's done. All the people can see and participate!"
