,author,published_at,comment,like
0,@MaulanaMaulanamaulana-eo5fl,2024-09-20T04:15:25Z,Ikn di buka untuk umum ...indah nya kota ikn di tahun 2024..❤❤❤❤🎉🎉🎉🎉🎉,0
1,@daryanto07,2024-08-01T00:45:05Z,"Masuk akal nggak sih, mulai dibangun tahun 2022 puncak pembangunannya 2045🤔 KIPP IKN saja, konon katanya seluas 6.700 ha, total luas daratannya 256 ribu ha, dan kawasan perairan lautnya 68.189 ha. Padahal BSD City yg total luas lahannya 6.700 ha, fase I (1.300 ha) dibangun thn 1989-2008, fase II (2.400 ha) dibangun thn 2008-2020, dan fase III (2.300 ha) dibangun mulai thn 2020 target selesai thn 2035.....😃",0
2,@ArwanAhmad-z8g,2024-07-26T02:16:40Z,Ikn jalan terus hebat .semangat maju terus indonesia maju .pk jojowi hebat .mba gres semangat 😂😂,0
3,@harunindrapratama5497,2024-07-18T18:14:51Z,Orang bodoh penjilat,0
4,@istachondoni198,2024-07-18T10:27:29Z,setuju,0
5,@Batamm1140,2024-07-15T08:53:50Z,Smg sukses IKN kami rakyat akn selalu mendukung semangat maju terus mantap 👍👍👍👌👌👌🙏,0
6,@Batamm1140,2024-07-15T08:52:13Z,Anti klobdah berlanjutnya t padti banyak yg mendukung utamakan pendukung yg membantu dari awal 👍👍👍👍👍👍👌🙏,0
7,@rasulhamidi772,2024-07-15T04:09:08Z,Anggaran IKN jangan sampai mengambil anggaran pendidikan. Diduga masalah pendidikan sangat banyak karena anggarannya diambil untuk IKN. Dapat dipastikan bahwa bangsa ini menuju Indonesia LEMAS pada tahun 2045 karena Anggaran Pendidikan 20% APBN dibagi bagi ke pihak lainnya sehingga kemendikbudriset hanya memperoleh sebagian kecil dari 20% APBN tsb...,0
8,@muhammadanwarbinjohari5673,2024-07-14T11:33:17Z,Weird location. How did they come out with this?,0
9,@RakaSumerta,2024-07-14T06:17:21Z,"Partai yg mengusung meng elu""kan kepentingan anak muda, yg akan membawa perubahan ..... eeh .. eeh ..  ternyata sama saja bull shiiit, cuman nebeng bandrol kata anak muda saja",0
10,@RakaSumerta,2024-07-14T05:02:40Z,"Cantik"" bgini dan maniiis lagi...., demi harta dan jabatan ... eeeh ujung"" nya jadi kelompok penjilat juga ...",0
11,@gedeardanaofficial,2024-07-14T04:23:53Z,Penjilat,0
12,@aliirfan2947,2024-07-14T03:22:52Z,Mencla mencle,0
13,@dickyiskandar-f5f,2024-07-14T03:02:56Z,"MINIMAL KELAK..MENJADI ISTANA NEGARA, KAYAK ISTANA NEGARA TAMPAK SIRING, BALI, ISTANA NEGARA BOGOR..DST...ATAU..BISA JADI..TAMAN MINI INDONESIA , DI KALIMANTAN...!!!!...UDAH SANTAI AJA....GA PERLU..BANYAK BASA BASI...!!!!...😅😅😅😅😅",0
14,@sutraadikusuma2167,2024-07-14T03:02:56Z,Buzzer istana,0
